index,problematic_features
4493,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
4500,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
4519,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
4532,['⚠️  Smoker=1 reduced risk (SHAP -0.011)']
4576,['⚠️  HvyAlcoholConsump=1 reduced risk (SHAP -0.058)']
4595,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
4596,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
4620,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
4639,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
4644,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
4703,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
4764,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
4846,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
4859,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
4868,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
4893,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
4908,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
4912,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
4916,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
4998,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
5004,"['⚠️  Smoker=1 reduced risk (SHAP -0.012)', '⚠️  HvyAlcoholConsump=1 reduced risk (SHAP -0.057)']"
5010,['⚠️  Smoker=1 reduced risk (SHAP -0.011)']
5027,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
5034,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
5045,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
5071,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
5097,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
5102,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
5147,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
5225,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
5226,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
5235,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
5237,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
5240,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
5300,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
5319,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
5379,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
5403,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
5413,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
5480,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
5482,"['⚠️  Smoker=1 reduced risk (SHAP -0.013)', '⚠️  HvyAlcoholConsump=1 reduced risk (SHAP -0.058)']"
5487,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
5517,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
5518,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
5526,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
5545,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
5564,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
5581,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
5583,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
5585,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
5625,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
5673,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
5683,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
5705,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
5715,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
5723,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
5731,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
5745,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
5764,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
5771,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
5774,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
5839,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
5936,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
5959,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
6092,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
6135,['⚠️  HvyAlcoholConsump=1 reduced risk (SHAP -0.058)']
6136,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
6205,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
6211,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
6225,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
6383,['⚠️  HvyAlcoholConsump=1 reduced risk (SHAP -0.060)']
6429,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
6561,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
6607,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
6619,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
6626,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
6648,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
6650,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
6654,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
6663,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
6694,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
6707,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
6712,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
6722,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
6740,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
6741,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
6750,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
6806,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
6815,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
6838,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
6854,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
6856,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
6906,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
6972,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
6992,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
7011,['⚠️  HvyAlcoholConsump=1 reduced risk (SHAP -0.060)']
7014,['⚠️  Smoker=1 reduced risk (SHAP -0.011)']
7047,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
7106,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
7123,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
7128,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
7134,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
7138,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
7148,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
7218,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
7219,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
7232,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
